s,t,time_min,distance_km,s_Node_Number,t_Node_Number
GMA-Kamuning MRT,Quezon Memorial Circle,8.0,2.7,95,125
Gov Santiago,T Santiago,5.0,2.0,37,38
Gov Santiago,Karuhatan Road,5.0,1.2,37,36
Heritage Hotel,SM MOA Globe EDSA,4.0,1.0,1,2
Heritage Hotel,Pitx,6.0,3.1,1,4
Intramuros / Anda Circle,Recto Avenue,3.0,1.2,24,25
Isetann Recto,Legarda Street,3.0,0.95,67,138
Isetann Recto,Quiapo,1.0,0.5,67,122
J. Ruiz,V.Mapa,4.0,1.2,71,70
Julia Vargas Avenue,Lanuza Avenue,1.0,0.65,79,80
K. Hari,Quezon Institute,5.0,2.1,134,133
Kalentong,Shaw Center Mall,4.0,1.2,66,65
Karuhatan Road,Victoneta Avenue,7.0,3.0,36,35
Katipunan Avenue,UP Town Center,7.0,2.0,86,87
Katipunan Avenue,Quirino Memorial Medical Center,2.0,1.2,86,85
Katipunan Avenue,Marikina Bayan,3.0,0.9,86,118
Katipunan Avenue,SM Marikina,3.0,1.6,86,120
Lanuza Avenue,Pasig Boulevard,3.0,1.4,80,60
Lawton,United Nations Avenue,4.0,1.5,44,45
Lawton,Quiapo,2.0,0.8,44,122
Legarda Street,Nagtahan,2.0,0.8,138,68
Litex,Regalado Avenue,5.0,2.3,98,101
Luckygold Plaza,SM City East Ortigas,6.0,1.2,82,83
Luckygold Plaza,Rosario,4.0,1.0,82,81
Magallanes Bus Stop,Nichols,4.0,2.8,19,18
Malanday,T Santiago,2.0,0.9,39,38
Malaria,Pangarap,5.0,1.3,106,105
Marikina Bayan,Nangka,12.0,4.4,118,119
Market Market,Upper McKinley Road,3.0,1.2,55,54
Mindanao - Congressional,Veterans Memorial Medical Center,3.0,1.0,111,112
Mindanao - Congressional,Tandang Sora - Mindanao,3.0,1.1,111,110
Mindanao - Congressional,Shorthorn Street,4.0,1.4,111,115
Mindanao - Congressional,Visayas Avenue,4.0,1.1,111,116
Mindanao Avenue - Fairview,Regalado Avenue,9.0,2.6,141,101
Mindanao Avenue - Fairview,Zabarte Road,4.0,1.4,141,102
Monumento,Balintawak Bus Terminal,4.0,1.8,34,130
Monumento,Victoneta Avenue,4.0,1.3,34,35
